,PF_EC19,PF_EC22,PF_EC12,PF_EC07,PF_EC02,PF_EC03,PF_EC10,PF_EC21,PF_EC16,PF_EC25,PF_KPN10,PF_KPN14,PF_KPN01,PF_KPN16,PF_KQ01,PF_KPN09,PF_KPN12,PF_KPN02,PF_KPN11,PF_KQ04
BREX,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
Dpd,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
PT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abi,1,2,2,0,0,2,2,1,1,1,2,2,2,2,1,1,1,1,1,1
CBASS,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dsr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Lit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PARIS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PrrC,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Retron,0,1,2,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,1,0
Thoeris,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
dXTPase,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
AVAST,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
DRT,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Druantia,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Gabija,1,0,1,0,0,0,0,1,0,1,1,2,1,0,0,1,1,0,1,1
Hachiman,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Iet,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1
Kiwa,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
PplA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Rst,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
Septu,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Tmn,2,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0
Zorya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
