Name	Type	Species	MIC_AMC	MIC_ERT	MIC_IMP	MIC_MER	FC_AMC	FC_ERT	FC_IMP	FC_MER	plas/chr123_median	logFC_AMC
TC_EC02	TC	E_coli	8192	8	64	4	255	7	127	1	1.3351	7.99435343685886
TC_EC03	TC	E_coli	8192	16	64	8	255	15	31	3	2.2371	7.99435343685886
TC_EC05	TC	E_coli	6144	8	64	4	383	7	31	1	1.0487	8.58120058192496
TC_EC06	TC	E_coli	6144	16	64	4	191	15	31	1	1.3982	7.57742882803575
TC_EC07	TC	E_coli	6144	8	64	8	95	15	31	3	1.0054	6.56985560833095
TC_EC10	TC	E_coli	3072	4	64	2	47	3	31	0	0.3899	5.55458885167764
TC_EC11	TC	E_coli	3072	16	64	2	95	31	127	3	1.8176	6.56985560833095
TC_EC14	TC	E_coli	8192	16	64	4	1023	15	31	1	1.018	9.99859042974533
TC_EC16	TC	E_coli	8192	16	256	16	255	15	127	7	1.229	7.99435343685886
TC_EC20	TC	E_coli	3072	4	2	2	95	3	0	0	2.0562	6.56985560833095
TC_EC21	TC	E_coli	8192	16	64	8	127	1	127	3	1.1712	6.98868468677217
TC_EC22	TC	E_coli	4096	16	64	8	127	31	127	3	0.9955	6.98868468677217
TC_EC23	TC	E_coli	4096	16	64	8	63	15	127	1	2.2764	5.97727992349992
TC_EC24	TC	E_coli	4096	16	64	4	63	31	31	0	2.0432	5.97727992349992
TC_EC25	TC	E_coli	512	2	64	8	3	1	31	1	1.0923	1.58496250072116
TC_KPN01	TC	Klebsiella_spp	16384	16	256	8	127	3	15	1	1.0987	6.98868468677217
TC_KPN03	TC	Klebsiella_spp	28672	16	256	8	223	3	255	0	2.3791	7.80089989992031
TC_KPN04	TC	Klebsiella_spp	5120	32	256	16	159	1	63	1	1.2976	7.31288295528436
TC_KPN06	TC	Klebsiella_spp	65536	256	1024	32	511	15	63	3	1.5515	8.99717948093762
TC_KPN08	TC	Klebsiella_spp	65536	64	256	8	1023	15	15	0	3.0628	9.99859042974533
TC_KPN09	TC	Klebsiella_spp	10240	16	64	8	79	3	31	15	1.7607	6.3037807481771
TC_KPN11	TC	Klebsiella_spp	65536	16	1024	32	255	3	63	3	6.8543	7.99435343685886
TC_KPN12	TC	Klebsiella_spp	14336	16	256	16	111	3	15	1	1.8173	6.79441586635011
TC_KPN13	TC	Klebsiella_spp	28672	32	128	16	223	15	7	7	2.144	7.80089989992031
TC_KPN15	TC	Klebsiella_spp	65536	16	1024	16	255	1	255	1	1.9635	7.99435343685886
TC_KPN16	TC	Klebsiella_spp	1024	4	1024	16	63	-0.5	63	1	0.2286	5.97727992349992
TC_KPN18	TC	Klebsiella_spp	14336	16	1024	8	55	1	63	0	2.0974	5.78135971352466
TC_KPN19	TC	Klebsiella_spp	8192	10	128	8	63	4	7	0	1.6887	5.97727992349992
TC_KPN20	TC	Klebsiella_spp	8192	8	128	8	255	3	7	0	2.6641	7.99435343685886
TC_KQ02	TC	Klebsiella_spp	10240	16	64	4	79	7	15	7	1.5049	6.3037807481771
TC_KQ03	TC	Klebsiella_spp	14336	16	128	4	111	3	7	1	1.413	6.79441586635011
TC_KQ05	TC	Klebsiella_spp	24576	16	64	8	383	3	3	3	1.2603	8.58120058192496
TC_KV01	TC	Klebsiella_spp	65536	16	256	16	1023	7	15	1	5.032	9.99859042974533
